TF_sym	Gene_sym
JUN	NSD1
JUN	NT5C1B
JUN	NTN4
JUN	NUAK1
JUN	NUDT10
JUN	NUDT11
JUN	ODF1
JUN	OLR1
JUN	OMD
JUN	OMG
JUN	ONECUT2
JUN	OR2F1
JUN	ORAI1
JUN	OSBP
JUN	OSMR
JUN	OTP
JUN	OTUB2
JUN	P2RX6
JUN	PA2G4
JUN	PACSIN3
JUN	PADI3
JUN	PADI4
JUN	PAF1
JUN	PAFAH1B1
JUN	PAK6
JUN	PAPPA
JUN	PAWR
JUN	PCDH17
JUN	PCDH9
JUN	PCSK1N
JUN	PCSK6
JUN	PCYT2
JUN	PDAP1
JUN	PDE1B
JUN	PDE4D
JUN	PDE6H
JUN	PDGFRA
JUN	PDGFRB
JUN	PDLIM2
JUN	PDZD9
JUN	PDZRN4
JUN	PEA15
JUN	PERP
JUN	PEX5
JUN	PFKFB2
JUN	PFKFB3
JUN	PFN1
JUN	PHF23
JUN	PHF3
JUN	PHLDA2
JUN	PHLDB3
JUN	PI15
JUN	PIK3C2G
JUN	PIM1
JUN	PIP4K2C
JUN	PIP5K1A
JUN	PITPNC1
JUN	PKM2
JUN	PKN1
JUN	PKN3
JUN	PKNOX2
JUN	PKP3
JUN	PLA2G2E
JUN	PLA2G4F
JUN	PLAU
JUN	PLBD2
JUN	PLCD1
JUN	PLCD4
JUN	PLEC
JUN	PLEKHH3
JUN	PLP2
JUN	PMCH
JUN	PMP22
JUN	PODN
JUN	POLD4
JUN	POLR3E
JUN	POPDC3
JUN	POU2AF1
JUN	PPARGC1A
JUN	PPP1R15A
JUN	SH3RF2
JUN	PPP1R3C
JUN	PPP1R8
JUN	PPP1R9B
JUN	PPP2CA
JUN	PPP2CB
JUN	PPP2R2A
JUN	PPP2R2B
JUN	PPP2R2C
JUN	PRDM1
JUN	PRDM12
JUN	PRDM13
JUN	PRF1
JUN	PRKAG3
JUN	PRKCDBP
JUN	PRKCG
JUN	PRLHR
JUN	PROCR
JUN	PROK2
JUN	PROM2
JUN	PRPF38B
JUN	PRR7
JUN	PRRG4
JUN	PRSS22
JUN	PRSS36
JUN	PRX
JUN	PSMA1
JUN	PSMA3
JUN	PSMA5
JUN	PSMD1
JUN	PSMD11
JUN	PSMD12
JUN	PSMD2
JUN	PSMD4
JUN	PSMD7
JUN	PSME4
JUN	PSTPIP1
JUN	PTH1R
JUN	PTMS
JUN	PTP4A1
JUN	PTPRN
JUN	PTPRR
JUN	PTPRU
JUN	PTRF
JUN	PVALB
JUN	RAB27B
JUN	RAB30
JUN	RAB34
JUN	RAB3D
JUN	RAB5A
JUN	RASEF
JUN	RASL11B
JUN	RB1CC1
JUN	RBBP7
JUN	RBKS
JUN	RBM39
JUN	RBP4
JUN	RBPJ
JUN	RCAN1
JUN	RCAN2
JUN	REEP4
JUN	RELA
JUN	RELL2
JUN	RELT
JUN	REPS1
JUN	RERE
JUN	RGAG1
JUN	RGS2
JUN	RGS3
JUN	RGS8
JUN	RHBDF1
JUN	RHO
JUN	RHOC
JUN	RHOG
JUN	RHOQ
JUN	RIMS1
JUN	RIN1
JUN	RIN2
JUN	RIPK4
JUN	RIT1
JUN	RNF144B
JUN	RNF145
JUN	RNF182
JUN	RNF186
JUN	RNF34
JUN	RNF44
JUN	ROCK2
JUN	ROM1
JUN	RPL23A
JUN	RPL39
JUN	RPS20
JUN	RPS6KA3
JUN	RPS6KA4
JUN	RTN1
JUN	RTN3
JUN	RTN4
JUN	RUNDC3A
JUN	RUNX1
JUN	RUNX1T1
JUN	RXFP2
JUN	RYBP
JUN	S100A10
JUN	S100A2
JUN	S100A5
JUN	S1PR1
JUN	S1PR2
JUN	SAMD14
JUN	SAT1
JUN	SBSN
JUN	SCAMP1
JUN	SCEL
JUN	SCN5A
JUN	SCOC
JUN	SCRN1
JUN	SDCBP
JUN	SDHAF2
JUN	SEC16B
JUN	SEC24D
JUN	SEL1L3
JUN	SEMA3B
JUN	SEMA6B
JUN	SEPT4
JUN	SERINC2
JUN	SERPINB2
JUN	SERPINB5
JUN	SERPINB7
JUN	SERTAD1
JUN	SFN
JUN	C10orf78
JUN	SFTPC
JUN	SFTPD
JUN	SGCZ
JUN	SGK1
JUN	SGK3
JUN	SGMS1
JUN	SH2D1B
JUN	SH2D3A
JUN	C1orf113
JUN	SH3RF1
JUN	SHC3
JUN	SHISA5
JUN	SHOX2
JUN	SHROOM1
JUN	SIPA1L1
